year;publications
1940;105133
1941;101593
1942;95908
1943;88713
1944;82506
1945;89380
1946;122798
1947;142831
1948;161473
1949;166686
1950;200924
1951;225313
1952;232567
1953;243283
1954;249131
1955;257255
1956;263707
1957;276829
1958;283592
1959;301697
1960;319671
1961;338447
1962;352626
1963;387723
1964;413536
1965;442485
1966;463145
1967;492887
1968;518955
1969;545844
1970;595226
1971;585762
1972;608823
1973;625351
1974;642752
1975;667154
1976;686070
1977;710884
1978;747338
1979;771070
1980;799798
1981;829171
1982;852653
1983;891429
1984;929909
1985;959694
1986;1000311
1987;1059463
1988;1120209
1989;1173689
1990;1221827
1991;1259894
1992;1283848
1993;1332960
1994;1372778
1995;1442289
1996;1488559
1997;1545897
1998;1589447
1999;1616430
2000;1748187
2001;1794186
2002;1854328
2003;1996088
2004;2181089
2005;2300050
2006;2509705
2007;2806301
2008;2810506
2009;2971174
2010;3112398
2011;3536970
2012;3657614
2013;3924906
2014;4113522
2015;4258720
2016;4444595
2017;4835739
2018;5199478
2019;5600610
2020;6282247
